year,region,population,fertility_rate,mortality_rate,migration_net,urbanization_rate,gdp_contribution,employment_agriculture,employment_industry,employment_services,age_0_14,age_15_64,age_65_plus,risk_score,category,indicator_name,value,unit
2020,National,16200000,6.0,12.0,10000,23.0,12000,70.0,10.0,20.0,47.0,50.0,3.0,0.4,population,Total Population,16200000,Habitants
2020,N'Djamena,2484331,6.19,12.227062994959912,5000,85.0,655,10.0,25.0,65.0,48.0,49.0,3.0,0.44245970481127417,population,Regional Population,2484331,Habitants
2020,Logone Occidental,649535,6.15,12.42614782067459,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5494645825522154,population,Regional Population,649535,Habitants
2020,Logone Oriental,632515,5.55,11.053353642967776,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5647721990569664,population,Regional Population,632515,Habitants
2020,Mayo-Kebbi Est,679558,6.25,11.88296697040056,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5331018774195763,population,Regional Population,679558,Habitants
2020,Mayo-Kebbi Ouest,671960,6.3,12.183792666833819,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.3026056128676638,population,Regional Population,671960,Habitants
2020,Chari-Baguirmi,628623,5.67,11.6267500784942,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.3375867810549685,population,Regional Population,628623,Habitants
2020,Hadjer-Lamis,669671,6.24,11.225484795405858,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.3368971143419805,population,Regional Population,669671,Habitants
2020,Moyen-Chari,628732,5.53,12.528391992508125,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.4434757178735085,population,Regional Population,628732,Habitants
2020,Mandoul,648823,6.47,12.96888603862664,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.38987047321323914,population,Regional Population,648823,Habitants
2020,Tandjilé,671721,5.62,11.314192537678608,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.4220477575526427,population,Regional Population,671721,Habitants
2020,Ouaddaï,640961,5.96,11.32970048606962,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5362669473789341,population,Regional Population,640961,Habitants
2020,Guéra,650083,6.28,12.550595396260766,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.368902696802181,population,Regional Population,650083,Habitants
2020,Batha,643428,6.12,12.2929132555022,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.33971297152770163,population,Regional Population,643428,Habitants
