year,region,population,fertility_rate,mortality_rate,migration_net,urbanization_rate,gdp_contribution,employment_agriculture,employment_industry,employment_services,age_0_14,age_15_64,age_65_plus,risk_score,category,indicator_name,value,unit
2020,National,16200000,6.0,12.0,10000,23.0,12000,70.0,10.0,20.0,47.0,50.0,3.0,0.4,population,Total Population,16200000,Habitants
2020,N'Djamena,2484331,6.19,12.227062994959912,5000,85.0,655,10.0,25.0,65.0,48.0,49.0,3.0,0.4424597048112741,population,Regional Population,2484331,Habitants
2020,Logone Occidental,649535,6.15,12.42614782067459,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5494645825522154,population,Regional Population,649535,Habitants
2020,Logone Oriental,632515,5.55,11.053353642967776,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5647721990569664,population,Regional Population,632515,Habitants
2020,Mayo-Kebbi Est,679558,6.25,11.88296697040056,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5331018774195763,population,Regional Population,679558,Habitants
2020,Mayo-Kebbi Ouest,671960,6.3,12.18379266683382,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.3026056128676638,population,Regional Population,671960,Habitants
2020,Chari-Baguirmi,628623,5.67,11.6267500784942,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.3375867810549685,population,Regional Population,628623,Habitants
2020,Hadjer-Lamis,669671,6.24,11.225484795405858,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.3368971143419805,population,Regional Population,669671,Habitants
2020,Moyen-Chari,628732,5.53,12.528391992508125,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.4434757178735085,population,Regional Population,628732,Habitants
2020,Mandoul,648823,6.47,12.96888603862664,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.3898704732132391,population,Regional Population,648823,Habitants
2020,Tandjilé,671721,5.62,11.314192537678608,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.4220477575526427,population,Regional Population,671721,Habitants
2020,Ouaddaï,640961,5.96,11.32970048606962,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5362669473789341,population,Regional Population,640961,Habitants
2020,Guéra,650083,6.28,12.550595396260766,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.368902696802181,population,Regional Population,650083,Habitants
2020,Batha,643428,6.12,12.2929132555022,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.3397129715277016,population,Regional Population,643428,Habitants
2020,Salamat,676167,5.67,11.514815168639451,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.4652371856758116,population,Regional Population,676167,Habitants
2020,Kanem,658425,5.85,11.71308850048808,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5468551481266224,population,Regional Population,658425,Habitants
2020,Barh El Gazel,688369,6.46,11.90463499959778,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5969175632993345,population,Regional Population,688369,Habitants
2020,Lac,643818,6.01,12.717927924313138,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5354248089630018,population,Regional Population,643818,Habitants
2020,Wadi Fira,654712,5.71,11.594810436546918,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.3834625092615052,population,Regional Population,654712,Habitants
2020,Borkou,625255,5.81,11.4289749691741,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5008382018511867,population,Regional Population,625255,Habitants
2020,Ennedi,676562,6.07,11.3905100293449,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.383213470310733,population,Regional Population,676562,Habitants
2020,Tibesti,639889,6.17,12.07009403058638,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.5174220696215723,population,Regional Population,639889,Habitants
2020,Sila,636773,5.98,12.167579707524922,500,20.0,436,80.0,5.0,15.0,48.0,49.0,3.0,0.4170712001175576,population,Regional Population,636773,Habitants
2021,National,16686000,5.95,12.0,10000,23.5,12300,70.0,10.0,20.0,47.0,50.0,3.0,0.4,population,Total Population,16686000,Habitants
2021,N'Djamena,2591340,6.28,11.096263294110717,5000,85.0,671,10.0,25.0,65.0,48.0,49.0,3.0,0.524496611134102,population,Regional Population,2591340,Habitants
2021,Logone Occidental,644685,6.07,11.99743590617487,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.4215038718176688,population,Regional Population,644685,Habitants
2021,Logone Oriental,684940,6.17,12.659045123792746,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.50572311631018,population,Regional Population,684940,Habitants
2021,Mayo-Kebbi Est,669958,6.5,12.095721544788596,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.3614073271479159,population,Regional Population,669958,Habitants
2021,Mayo-Kebbi Ouest,673108,5.55,12.887188263938471,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.310851751190501,population,Regional Population,673108,Habitants
2021,Chari-Baguirmi,690972,6.39,12.855469417501888,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.4749920125225287,population,Regional Population,690972,Habitants
2021,Hadjer-Lamis,658922,5.92,12.207078082910463,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.5965722147729737,population,Regional Population,658922,Habitants
2021,Moyen-Chari,680486,5.69,11.13037769056565,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.5175491195694365,population,Regional Population,680486,Habitants
2021,Mandoul,686759,5.66,12.611393509930377,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.3310028671714934,population,Regional Population,686759,Habitants
2021,Tandjilé,670297,5.57,12.225791482436389,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.4184390534313742,population,Regional Population,670297,Habitants
2021,Ouaddaï,674398,5.85,11.382896730335544,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.5061221366701576,population,Regional Population,674398,Habitants
2021,Guéra,697214,5.75,11.08266840811782,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.4894826663642856,population,Regional Population,697214,Habitants
2021,Batha,683211,5.75,12.702322751994336,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.4001455772431446,population,Regional Population,683211,Habitants
2021,Salamat,702623,6.13,12.071548757987998,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.4413485303218121,population,Regional Population,702623,Habitants
2021,Kanem,662196,6.21,11.163384902983758,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.5303682512087738,population,Regional Population,662196,Habitants
2021,Barh El Gazel,682902,5.82,12.058106048158765,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.4766271000326042,population,Regional Population,682902,Habitants
2021,Lac,690459,5.63,11.631497158218275,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.5498257194460716,population,Regional Population,690459,Habitants
2021,Wadi Fira,671602,6.25,12.860338655260655,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.5946667898159386,population,Regional Population,671602,Habitants
2021,Borkou,698846,5.71,11.915695382835494,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.5150576334609124,population,Regional Population,698846,Habitants
2021,Ennedi,641848,6.3,12.310853616218726,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.585847850758795,population,Regional Population,641848,Habitants
2021,Tibesti,653044,6.19,12.810142856919008,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.3525482494339924,population,Regional Population,653044,Habitants
2021,Sila,676266,6.29,12.645556696592724,500,20.0,447,80.0,5.0,15.0,48.0,49.0,3.0,0.3918486443975475,population,Regional Population,676266,Habitants
2022,National,17186580,5.9,12.0,10000,24.0,12607,70.0,10.0,20.0,47.0,50.0,3.0,0.4,population,Total Population,17186580,Habitants
2022,N'Djamena,2574641,5.92,12.581052681965186,5000,85.0,688,10.0,25.0,65.0,48.0,49.0,3.0,0.3152845505209563,population,Regional Population,2574641,Habitants
2022,Logone Occidental,723423,6.29,12.210532930172228,500,20.0,458,80.0,5.0,15.0,48.0,49.0,3.0,0.4539695452418373,population,Regional Population,723423,Habitants
2022,Logone Oriental,687347,5.74,12.789092629456269,500,20.0,458,80.0,5.0,15.0,48.0,49.0,3.0,0.3129643400727923,population,Regional Population,687347,Habitants
2022,Mayo-Kebbi Est,672134,5.58,12.593512341434996,500,20.0,458,80.0,5.0,15.0,48.0,49.0,3.0,0.5782100713858878,population,Regional Population,672134,Habitants
2022,Mayo-Kebbi Ouest,718319,6.2,12.085582244921078,500,20.0,458,80.0,5.0,15.0,48.0,49.0,3.0,0.5863117759605592,population,Regional Population,718319,Habitants
2022,Chari-Baguirmi,672498,5.95,11.91798813006475,500,20.0,458,80.0,5.0,15.0,48.0,49.0,3.0,0.5585852567170279,population,Regional Population,672498,Habitants
2022,Hadjer-Lamis,664390,5.9,12.357403582737296,500,20.0,458,80.0,5.0,15.0,48.0,49.0,3.0,0.5656109337004364,population,Regional Population,664390,Habitants
2022,Moyen-Chari,701170,6.35,12.365371519998916,500,20.0,458,80.0,5.0,15.0,48.0,49.0,3.0,0.3311393113464674,population,Regional Population,701170,Habitants
2022,Mandoul,667154,6.23,12.628737631523732,500,20.0,458,80.0,5.0,15.0,48.0,49.0,3.0,0.5441586797389572,population,Regional Population,667154,Habitants
2022,Tandjilé,700094,5.95,11.48759018791024,500,20.0,458,80.0,5.0,15.0,48.0,49.0,3.0,0.5546257323846111,population,Regional Population,700094,Habitants
