Region,Year,Age_Group,Population_Total
Batha,1990,0-4,394716.0
Batha,1990,5-9,326726.0
Batha,1990,10-14,255189.0
Batha,1990,15-19,0.0
Batha,1990,20-24,193914.0
Batha,1990,25-29,394975.0
Batha,1990,30-34,237372.0
Batha,1991,0-4,365477.0
Batha,1991,5-9,139002.0
Batha,1991,10-14,387503.0
Batha,1991,15-19,43339.0
Batha,1991,20-24,216937.0
Batha,1991,25-29,483740.0
Batha,1991,30-34,415844.0
Batha,1992,0-4,225065000.0
Batha,1992,5-9,355791.0
Batha,1992,10-14,0.0
Batha,1992,15-19,296695.0
Batha,1992,20-24,347394.0
Batha,1992,25-29,0.0
Batha,1992,30-34,406051.0
Batha,1993,0-4,187297.0
Batha,1993,5-9,173406.0
Batha,1993,10-14,31369.0
Batha,1993,15-19,160683.0
Batha,1993,20-24,433984.0
Batha,1993,25-29,16062.0
Batha,1993,30-34,436645.0
Batha,1994,0-4,185772.0
Batha,1994,5-9,0.0
Batha,1994,10-14,243729.0
Batha,1994,15-19,464496.0
Batha,1994,20-24,14556.0
Batha,1994,25-29,279336.0
Batha,1994,30-34,23264.0
Batha,1995,0-4,34655.0
Batha,1995,5-9,100055.0
Batha,1995,10-14,449919.0
Batha,1995,15-19,0.0
Batha,1995,20-24,68399.0
Batha,1995,25-29,103332.0
Batha,1995,30-34,113938.0
Batha,1996,0-4,0.0
Batha,1996,5-9,0.0
Batha,1996,10-14,456090.0
Batha,1996,15-19,192194.0
Batha,1996,20-24,32309.0
Batha,1996,25-29,229454.0
Batha,1996,30-34,321582.0
Batha,1997,0-4,100049.0
Batha,1997,5-9,373026.0
Batha,1997,10-14,289222.0
Batha,1997,15-19,261588.0
Batha,1997,20-24,221335.0
Batha,1997,25-29,1001510000.0
Batha,1997,30-34,125092.0
Batha,1998,0-4,446326.0
Batha,1998,5-9,127045.0
Batha,1998,10-14,219092.0
Batha,1998,15-19,457670.0
Batha,1998,20-24,0.0
Batha,1998,25-29,95519.0
Batha,1998,30-34,482757.0
Batha,1999,0-4,333791.0
Batha,1999,5-9,440299.0
Batha,1999,10-14,178862.0
Batha,1999,15-19,353545.0
Batha,1999,20-24,0.0
Batha,1999,25-29,452603.0
Batha,1999,30-34,253977.0
Batha,2000,0-4,464055.0
Batha,2000,5-9,462696.0
Batha,2000,10-14,396934.0
Batha,2000,15-19,463603.0
Batha,2000,20-24,429430.0
Batha,2000,25-29,258198.0
Batha,2000,30-34,181950.0
Batha,2001,0-4,103482.0
Batha,2001,5-9,204286.0
Batha,2001,10-14,286327.0
Batha,2001,15-19,466759.0
Batha,2001,20-24,32824.0
Batha,2001,25-29,237817.0
Batha,2001,30-34,331646.0
Batha,2002,0-4,0.0
Batha,2002,5-9,192843.0
Batha,2002,10-14,372747.0
Batha,2002,15-19,190053.0
Batha,2002,20-24,457738.0
Batha,2002,25-29,348739.0
Batha,2002,30-34,387661.0
Batha,2003,0-4,342592.0
Batha,2003,5-9,83321.0
Batha,2003,10-14,489635.0
Batha,2003,15-19,490891.0
Batha,2003,20-24,72236.0
Batha,2003,25-29,0.0
Batha,2003,30-34,236086.0
Batha,2004,0-4,488085.0
Batha,2004,5-9,31666.0
Batha,2004,10-14,23085.0
Batha,2004,15-19,490374.0
Batha,2004,20-24,255400.0
Batha,2004,25-29,50458.0
Batha,2004,30-34,474907.0
Batha,2005,0-4,412870.0
Batha,2005,5-9,422046.0
Batha,2005,10-14,395551.0
Batha,2005,15-19,467072.0
Batha,2005,20-24,426922.0
Batha,2005,25-29,0.0
Batha,2005,30-34,468927.0
Batha,2006,0-4,343825.0
Batha,2006,5-9,15012.0
Batha,2006,10-14,0.0
Batha,2006,15-19,202134.0
Batha,2006,20-24,252318.0
Batha,2006,25-29,282952.0
Batha,2006,30-34,60822.0
Batha,2007,0-4,388024.0
Batha,2007,5-9,27527.0
Batha,2007,10-14,443570.0
Batha,2007,15-19,365389.0
Batha,2007,20-24,353706.0
Batha,2007,25-29,296316.0
Batha,2007,30-34,149879.0
Batha,2008,0-4,277648.0
Batha,2008,5-9,372645.0
Batha,2008,10-14,56569.0
Batha,2008,15-19,336313.0
Batha,2008,20-24,412309.0
Batha,2008,25-29,212178.0
Batha,2008,30-34,0.0
Batha,2009,0-4,90099.0
Batha,2009,5-9,0.0
Batha,2009,10-14,352057.0
Batha,2009,15-19,493595.0
Batha,2009,20-24,354486.0
Batha,2009,25-29,404358.0
Batha,2009,30-34,211833.0
Batha,2010,0-4,319833.0
Batha,2010,5-9,107036.0
Batha,2010,10-14,201332.0
Batha,2010,15-19,193477.0
Batha,2010,20-24,215321.0
Batha,2010,25-29,289079.0
Batha,2010,30-34,199384.0
Batha,2011,0-4,278137.0
Batha,2011,5-9,210634.0
Batha,2011,10-14,0.0
Batha,2011,15-19,491558.0
Batha,2011,20-24,453778.0
Batha,2011,25-29,130531.0
Batha,2011,30-34,22265.0
Batha,2012,0-4,355865.0
Batha,2012,5-9,365597.0
Batha,2012,10-14,468636.0
Batha,2012,15-19,452993.0
Batha,2012,20-24,256866.0
Batha,2012,25-29,117604.0
Batha,2012,30-34,0.0
Batha,2013,0-4,363838.0
Batha,2013,5-9,102112.0
Batha,2013,10-14,336528.0
Batha,2013,15-19,303353.0
Batha,2013,20-24,79989.0
Batha,2013,25-29,0.0
Batha,2013,30-34,257223.0
Batha,2014,0-4,427095.0
Batha,2014,5-9,402374.0
Batha,2014,10-14,122273.0
Batha,2014,15-19,443692.0
Batha,2014,20-24,249647.0
Batha,2014,25-29,328829.0
Batha,2014,30-34,346188.0
Batha,2015,0-4,213302.0
Batha,2015,5-9,233446.0
Batha,2015,10-14,125841.0
Batha,2015,15-19,377575.0
Batha,2015,20-24,426602.0
Batha,2015,25-29,407249.0
Batha,2015,30-34,317988.0
Batha,2016,0-4,81965.0
Batha,2016,5-9,0.0
Batha,2016,10-14,327739.0
Batha,2016,15-19,474238.0
Batha,2016,20-24,331563.0
Batha,2016,25-29,364078.0
Batha,2016,30-34,302260.0
Batha,2017,0-4,129310.0
Batha,2017,5-9,0.0
Batha,2017,10-14,147863.0
Batha,2017,15-19,289760.0
Batha,2017,20-24,459408.0
Batha,2017,25-29,260406.0
Batha,2017,30-34,20396.0
Batha,2018,0-4,459862.0
Batha,2018,5-9,477311.0
Batha,2018,10-14,209250.0
Batha,2018,15-19,309608.0
Batha,2018,20-24,0.0
Batha,2018,25-29,0.0
Batha,2018,30-34,339920.0
Batha,2019,0-4,147692.0
Batha,2019,5-9,360077.0
Batha,2019,10-14,153638.0
Batha,2019,15-19,295591.0
Batha,2019,20-24,201704.0
Batha,2019,25-29,326023.0
Batha,2019,30-34,0.0
Batha,2020,0-4,81738.0
Batha,2020,5-9,193130.0
Batha,2020,10-14,125569.0
Batha,2020,15-19,104641.0
Batha,2020,20-24,412474.0
Batha,2020,25-29,317408.0
Batha,2020,30-34,131516.0
Batha,2021,0-4,88858.0
Batha,2021,5-9,313064.0
Batha,2021,10-14,268582.0
Batha,2021,15-19,78009.0
Batha,2021,20-24,49871.0
Batha,2021,25-29,336228.0
Batha,2021,30-34,457878.0
Batha,2022,0-4,841365000.0
Batha,2022,5-9,153975.0
Batha,2022,10-14,333281.0
Batha,2022,15-19,171462.0
Batha,2022,20-24,208457.0
Batha,2022,25-29,354884.0
Batha,2022,30-34,435989.0
Batha,2023,0-4,78413.0
Batha,2023,5-9,404862.0
Batha,2023,10-14,342711.0
Batha,2023,15-19,57801.0
Batha,2023,20-24,298547.0
Batha,2023,25-29,406393.0
Batha,2023,30-34,476031.0
Batha,2024,0-4,60572.0
Batha,2024,5-9,102759.0
Batha,2024,10-14,307527.0
Batha,2024,15-19,90777.0
Batha,2024,20-24,235801.0
Batha,2024,25-29,316836.0
Batha,2024,30-34,463379.0
Batha,2025,0-4,204331.0
Batha,2025,5-9,382374.0
Batha,2025,10-14,328773.0
Batha,2025,15-19,487259.0
Batha,2025,20-24,234197.0
Batha,2025,25-29,391543.0
Batha,2025,30-34,353191.0
Batha,2026,0-4,295961.0
Batha,2026,5-9,286130000.0
