Region,Year,Contraception_Rate,Maternal_Mortality,ISF,e0,TMI,HIV_prev
Batha,2009,15.5,450.0,6.5,50.0,70.0,1.5
Batha,2010,15.5,450.0,6.451219512195122,50.36585365853659,69.5,1.5
Batha,2011,15.5,450.0,6.402439024390244,50.73170731707317,69.0,1.5
Batha,2012,15.5,450.0,6.353658536585366,51.09756097560975,68.5,1.5
Batha,2013,15.5,450.0,6.304878048780488,51.46341463414634,68.0,1.5
Batha,2014,15.5,450.0,6.2560975609756095,51.829268292682926,67.5,1.5
Batha,2015,15.5,450.0,6.2073170731707314,52.19512195121951,67.0,1.5
Batha,2016,15.5,450.0,6.158536585365853,52.5609756097561,66.5,1.5
Batha,2017,15.5,450.0,6.109756097560975,52.926829268292686,66.0,1.5
Batha,2018,15.5,450.0,6.060975609756097,53.29268292682927,65.5,1.5
Batha,2019,15.5,450.0,6.012195121951219,53.65853658536585,65.0,1.5
Batha,2020,15.5,450.0,5.963414634146341,54.02439024390244,64.5,1.5
Batha,2021,15.5,450.0,5.914634146341463,54.39024390243903,64.0,1.5
Batha,2022,15.5,450.0,5.865853658536586,54.75609756097561,63.5,1.5
Batha,2023,15.5,450.0,5.817073170731708,55.1219512195122,63.0,1.5
Batha,2024,15.5,450.0,5.7682926829268295,55.48780487804878,62.5,1.5
Batha,2025,15.5,450.0,5.719512195121951,55.85365853658536,62.0,1.5
Batha,2026,15.5,450.0,5.670731707317073,56.21951219512195,61.5,1.5
Batha,2027,15.5,450.0,5.621951219512195,56.58536585365854,61.0,1.5
Batha,2028,15.5,450.0,5.573170731707317,56.95121951219512,60.5,1.5
Batha,2029,15.5,450.0,5.524390243902439,57.3170731707317,60.0,1.5
Batha,2030,15.5,450.0,5.475609756097561,57.68292682926829,59.5,1.5
Batha,2031,15.5,450.0,5.426829268292683,58.04878048780488,59.0,1.5
Batha,2032,15.5,450.0,5.378048780487805,58.41463414634146,58.5,1.5
Batha,2033,15.5,450.0,5.329268292682927,58.78048780487805,58.0,1.5
Batha,2034,15.5,450.0,5.280487804878049,59.14634146341464,57.5,1.5
Batha,2035,15.5,450.0,5.2317073170731705,59.51219512195122,57.0,1.5
Batha,2036,15.5,450.0,5.182926829268292,59.8780487804878,56.5,1.5
Batha,2037,15.5,450.0,5.134146341463414,60.24390243902439,56.0,1.5
Batha,2038,15.5,450.0,5.085365853658536,60.609756097560975,55.5,1.5
Batha,2039,15.5,450.0,5.036585365853659,60.97560975609756,55.0,1.5
Batha,2040,15.5,450.0,4.987804878048781,61.34146341463415,54.5,1.5
Batha,2041,15.5,450.0,4.939024390243903,61.70731707317073,54.0,1.5
Batha,2042,15.5,450.0,4.890243902439025,62.073170731707314,53.5,1.5
Batha,2043,15.5,450.0,4.841463414634147,62.4390243902439,53.0,1.5
Batha,2044,15.5,450.0,4.7926829268292686,62.80487804878049,52.5,1.5
Batha,2045,15.5,450.0,4.743902439024391,63.170731707317074,52.0,1.5
Batha,2046,15.5,450.0,4.695121951219512,63.53658536585366,51.5,1.5
Batha,2047,15.5,450.0,4.646341463414634,63.90243902439025,51.0,1.5
Batha,2048,15.5,450.0,4.597560975609756,64.26829268292683,50.5,1.5
Batha,2049,15.5,450.0,4.548780487804878,64.6341463414634,50.0,1.5
Batha,2050,15.5,450.0,4.5,65.0,49.5,1.5
Borkou,2009,15.5,450.0,6.5,50.0,70.0,1.5
Borkou,2010,15.5,450.0,6.451219512195122,50.36585365853659,69.5,1.5
Borkou,2011,15.5,450.0,6.402439024390244,50.73170731707317,69.0,1.5
Borkou,2012,15.5,450.0,6.353658536585366,51.09756097560975,68.5,1.5
Borkou,2013,15.5,450.0,6.304878048780488,51.46341463414634,68.0,1.5
Borkou,2014,15.5,450.0,6.2560975609756095,51.829268292682926,67.5,1.5
Borkou,2015,15.5,450.0,6.2073170731707314,52.19512195121951,67.0,1.5
Borkou,2016,15.5,450.0,6.158536585365853,52.5609756097561,66.5,1.5
Borkou,2017,15.5,450.0,6.109756097560975,52.926829268292686,66.0,1.5
Borkou,2018,15.5,450.0,6.060975609756097,53.29268292682927,65.5,1.5
Borkou,2019,15.5,450.0,6.012195121951219,53.65853658536585,65.0,1.5
Borkou,2020,15.5,450.0,5.963414634146341,54.02439024390244,64.5,1.5
Borkou,2021,15.5,450.0,5.914634146341463,54.39024390243903,64.0,1.5
Borkou,2022,15.5,450.0,5.865853658536586,54.75609756097561,63.5,1.5
Borkou,2023,15.5,450.0,5.817073170731708,55.1219512195122,63.0,1.5
Borkou,2024,15.5,450.0,5.7682926829268295,55.48780487804878,62.5,1.5
Borkou,2025,15.5,450.0,5.719512195121951,55.85365853658536,62.0,1.5
Borkou,2026,15.5,450.0,5.670731707317073,56.21951219512195,61.5,1.5
Borkou,2027,15.5,450.0,5.621951219512195,56.58536585365854,61.0,1.5
Borkou,2028,15.5,450.0,5.573170731707317,56.95121951219512,60.5,1.5
Borkou,2029,15.5,450.0,5.524390243902439,57.3170731707317,60.0,1.5
Borkou,2030,15.5,450.0,5.475609756097561,57.68292682926829,59.5,1.5
Borkou,2031,15.5,450.0,5.426829268292683,58.04878048780488,59.0,1.5
Borkou,2032,15.5,450.0,5.378048780487805,58.41463414634146,58.5,1.5
Borkou,2033,15.5,450.0,5.329268292682927,58.78048780487805,58.0,1.5
Borkou,2034,15.5,450.0,5.280487804878049,59.14634146341464,57.5,1.5
Borkou,2035,15.5,450.0,5.2317073170731705,59.51219512195122,57.0,1.5
Borkou,2036,15.5,450.0,5.182926829268292,59.8780487804878,56.5,1.5
Borkou,2037,15.5,450.0,5.134146341463414,60.24390243902439,56.0,1.5
Borkou,2038,15.5,450.0,5.085365853658536,60.609756097560975,55.5,1.5
Borkou,2039,15.5,450.0,5.036585365853659,60.97560975609756,55.0,1.5
Borkou,2040,15.5,450.0,4.987804878048781,61.34146341463415,54.5,1.5
Borkou,2041,15.5,450.0,4.939024390243903,61.70731707317073,54.0,1.5
Borkou,2042,15.5,450.0,4.890243902439025,62.073170731707314,53.5,1.5
Borkou,2043,15.5,450.0,4.841463414634147,62.4390243902439,53.0,1.5
Borkou,2044,15.5,450.0,4.7926829268292686,62.80487804878049,52.5,1.5
Borkou,2045,15.5,450.0,4.743902439024391,63.170731707317074,52.0,1.5
Borkou,2046,15.5,450.0,4.695121951219512,63.53658536585366,51.5,1.5
Borkou,2047,15.5,450.0,4.646341463414634,63.90243902439025,51.0,1.5
Borkou,2048,15.5,450.0,4.597560975609756,64.26829268292683,50.5,1.5
Borkou,2049,15.5,450.0,4.548780487804878,64.6341463414634,50.0,1.5
Borkou,2050,15.5,450.0,4.5,65.0,49.5,1.5
Chari-Baguirmi,2009,15.5,450.0,6.5,50.0,70.0,1.5
Chari-Baguirmi,2010,15.5,450.0,6.451219512195122,50.36585365853659,69.5,1.5
Chari-Baguirmi,2011,15.5,450.0,6.402439024390244,50.73170731707317,69.0,1.5
Chari-Baguirmi,2012,15.5,450.0,6.353658536585366,51.09756097560975,68.5,1.5
Chari-Baguirmi,2013,15.5,450.0,6.304878048780488,51.46341463414634,68.0,1.5
Chari-Baguirmi,2014,15.5,450.0,6.2560975609756095,51.829268292682926,67.5,1.5
Chari-Baguirmi,2015,15.5,450.0,6.2073170731707314,52.19512195121951,67.0,1.5
Chari-Baguirmi,2016,15.5,450.0,6.158536585365853,52.5609756097561,66.5,1.5
Chari-Baguirmi,2017,15.5,450.0,6.109756097560975,52.926829268292686,66.0,1.5
Chari-Baguirmi,2018,15.5,450.0,6.060975609756097,53.29268292682927,65.5,1.5
Chari-Baguirmi,2019,15.5,450.0,6.012195121951219,53.65853658536585,65.0,1.5
Chari-Baguirmi,2020,15.5,450.0,5.963414634146341,54.02439024390244,64.5,1.5
Chari-Baguirmi,2021,15.5,450.0,5.914634146341463,54.39024390243903,64.0,1.5
Chari-Baguirmi,2022,15.5,450.0,5.865853658536586,54.75609756097561,63.5,1.5
Chari-Baguirmi,2023,15.5,450.0,5.817073170731708,55.1219512195122,63.0,1.5
Chari-Baguirmi,2024,15.5,450.0,5.7682926829268295,55.48780487804878,62.5,1.5
Chari-Baguirmi,2025,15.5,450.0,5.719512195121951,55.85365853658536,62.0,1.5
Chari-Baguirmi,2026,15.5,450.0,5.670731707317073,56.21951219512195,61.5,1.5
Chari-Baguirmi,2027,15.5,450.0,5.621951219512195,56.58536585365854,61.0,1.5
Chari-Baguirmi,2028,15.5,450.0,5.573170731707317,56.95121951219512,60.5,1.5
Chari-Baguirmi,2029,15.5,450.0,5.524390243902439,57.3170731707317,60.0,1.5
Chari-Baguirmi,2030,15.5,450.0,5.475609756097561,57.68292682926829,59.5,1.5
Chari-Baguirmi,2031,15.5,450.0,5.426829268292683,58.04878048780488,59.0,1.5
Chari-Baguirmi,2032,15.5,450.0,5.378048780487805,58.41463414634146,58.5,1.5
Chari-Baguirmi,2033,15.5,450.0,5.329268292682927,58.78048780487805,58.0,1.5
Chari-Baguirmi,2034,15.5,450.0,5.280487804878049,59.14634146341464,57.5,1.5
Chari-Baguirmi,2035,15.5,450.0,5.2317073170731705,59.51219512195122,57.0,1.5
Chari-Baguirmi,2036,15.5,450.0,5.182926829268292,59.8780487804878,56.5,1.5
Chari-Baguirmi,2037,15.5,450.0,5.134146341463414,60.24390243902439,56.0,1.5
Chari-Baguirmi,2038,15.5,450.0,5.085365853658536,60.609756097560975,55.5,1.5
Chari-Baguirmi,2039,15.5,450.0,5.036585365853659,60.97560975609756,55.0,1.5
Chari-Baguirmi,2040,15.5,450.0,4.987804878048781,61.34146341463415,54.5,1.5
Chari-Baguirmi,2041,15.5,450.0,4.939024390243903,61.70731707317073,54.0,1.5
Chari-Baguirmi,2042,15.5,450.0,4.890243902439025,62.073170731707314,53.5,1.5
Chari-Baguirmi,2043,15.5,450.0,4.841463414634147,62.4390243902439,53.0,1.5
Chari-Baguirmi,2044,15.5,450.0,4.7926829268292686,62.80487804878049,52.5,1.5
Chari-Baguirmi,2045,15.5,450.0,4.743902439024391,63.170731707317074,52.0,1.5
Chari-Baguirmi,2046,15.5,450.0,4.695121951219512,63.53658536585366,51.5,1.5
Chari-Baguirmi,2047,15.5,450.0,4.646341463414634,63.90243902439025,51.0,1.5
Chari-Baguirmi,2048,15.5,450.0,4.597560975609756,64.26829268292683,50.5,1.5
Chari-Baguirmi,2049,15.5,450.0,4.548780487804878,64.6341463414634,50.0,1.5
Chari-Baguirmi,2050,15.5,450.0,4.5,65.0,49.5,1.5
Ennedi Est,2009,15.5,450.0,6.5,50.0,70.0,1.5
Ennedi Est,2010,15.5,450.0,6.451219512195122,50.36585365853659,69.5,1.5
Ennedi Est,2011,15.5,450.0,6.402439024390244,50.73170731707317,69.0,1.5
Ennedi Est,2012,15.5,450.0,6.353658536585366,51.09756097560975,68.5,1.5
